web-scraper-order,web-scraper-start-url,product,product-href,name,brandname,description,logo-src,offer-detail,how-to-book,terms,terms-link,terms-link-href,book-link,book-link-href
"1594283402-1419","https://www.holidayhk.com/en-hk/attractions/","Dukling50% OFF50% Discount on Dukling Sailing Night Tour","https://www.holidayhk.com/en-hk/attractions/attraction0018/","Dukling","50% Discount on Dukling Sailing Night Tour","null","/media/offer/Dukling_ENHK_Attraction_Offer_1_logo.png","•  Offer is valid from 15 June to 30 September 2020
•  Hong Kong residents are eligible for this offer
•  For enquiries, please contact Dukling at reservation@dukling.com.hk or +852 3759 7070","• Click on 'Book now' to book your tickets at Dukling Official Website","Terms and conditions apply to Dukling Sailing Tour. Please click here for details.
                        

                            Please click here for details.","Please click here for details.","https://www.dukling.com.hk/en/aboard/","null",""
"1594283404-1420","https://www.holidayhk.com/en-hk/attractions/","Ngong Ping 36050% OFF50% Disount on Weekday Round Trip Cable Car Ticket","https://www.holidayhk.com/en-hk/attractions/attraction0016/","Ngong Ping 360","50% Disount on Weekday Round Trip Cable Car Ticket","Applicable to Roundtrip Standard Cable Car Ticket, Roundtrip Crystal Cable Car Ticket and One-way Standard plus One-way Crystal Cable Car Ticket","/media/offer/NP360_ENHK_Attraction_Offer_1_logo.png","•  Offer is valid from 15 June to 31 July 2020
•  Offer is valid on Mondays to Fridays only (except Saturdays, Sundays and Public Holidays)
•  Hong Kong residents are eligible for this offer 
•  For enquiries, please contact Ngong Ping 360 at info@np360.com.hk or +852 3666 0606","• Click on 'Book now' to book your tickets at Ngong Ping 360 official website at least 1 day in advance of the visit date","Terms and conditions apply to 50% Disount on Roundtrip Cable Car Ticket offer.
                        

                            Please click here for details.","Please click here for details.","https://www.np360.com.hk/en/events-promotions/promotions/HK-50-off-Weekdays-Round-Trip-Cable-Car-ticket","null",""
"1594283392-1414","https://www.holidayhk.com/en-hk/attractions/","KKDayOver 30% Discount on The Peak - Explorer Pass","https://www.holidayhk.com/en-hk/attractions/attraction0014/","KKDay","Over 30% Discount on The Peak - Explorer Pass","Includes one Peak Tram Sky Pass, one Monopoly Dreams™️ Admission Ticket, one Madame Tussauds Hong Kong Ticket and 10% discount from Tiny (applicable for The Peak shop only)","/media/offer/Kkday_ENHK_Attraction_Offer_1_logo.png","•	  Offer is valid from 22 June to 31 August 2020
•  	Hong Kong residents are eligible to this offer
•  Offer includes one Peak Tram Sky Pass, one Monopoly Dreams™️ Admission Ticket, one Madame Tussauds Hong Kong Ticket and 10% discount from Tiny (applicable for The Peak shop only)
•	  For enquiries, please contact +852 3008 1724","• Click on 'Book now' to book your tickets","Terms and conditions apply to The Peak - Explorer Pass. Please refer to the product page on Kkday for details.
                        

                            Please click here for details.","Please click here for details.","https://www.kkday.com/en/promo/hktb-kkday-202006-en","null",""
"1594283398-1417","https://www.holidayhk.com/en-hk/attractions/","KKDayDiscount on Crystal Lotus Culinary Academy Disney Character Dim Sum Making with Special Dim Sum Lunch Package","https://www.holidayhk.com/en-hk/attractions/attraction0029/","KKDay","Discount on Crystal Lotus Culinary Academy Disney Character Dim Sum Making with Special Dim Sum Lunch Package","Enjoy 8% discount when booking Characters Dim Sum Cooking Class with Character  Lunch set In Summer –  1 Adult & 1 Child package at KKday.com. 
In a cooking class, a Disney chef will demonstrate the cooking skills and you will then make your own Characters Dim Sum. A delicacy of Dim Sum Set Lunch will be served afterwards, together with your unique masterpiece.","/media/offer/Kkday_ENHK_Attraction_Offer_1_logo.png","• Offer is valid from 2 July to 30 August 2020
• Hong Kong residents are eligible to this offer
• 1 adult & child package is for adult aged 12 or above and child aged 3 to 12 years old. It will cover one set of cooking item only, child server with kid menu at lunch time
• Images are for marketing purposes only. All Guests must wear face masks and maintain appropriate social distancing. Please visit official website for details
• Minimum of 10 people are required to book tour. If total number of travelers do not match the minimum requirement for this trip, the tour will be cancelled and you will receive a notification e-mail 3 day(s) prior to departure
• For enquiries, please contact +852 3008 1724","• Click on 'Book now' to book your tickets","Terms and Conditions apply to the offer. Please refer to the terms and conditions on product page before purchase and usage.
                        

                            Please click here for details.","Please click here for details.","https://www.kkday.com/en/product/39825?cid=10459","null",""
"1594283390-1413","https://www.holidayhk.com/en-hk/attractions/","Madame Tussauds Hong KongBUY 1 GET 1 FREEBuy One, Get One Free on Admission Ticket","https://www.holidayhk.com/en-hk/attractions/attraction0006/","Madame Tussauds Hong Kong","Buy One, Get One Free on Admission Ticket","null","/media/offer/MTHK_ENHK_Attraction_Offer_1_logo.png","•  Offer is valid from 15 to 31 August 2020
•  Hong Kong residents are eligible for this offer
•  For enquiries, please contact Madame Tussauds Hong Kong at info@madame-tussauds.com.hk or +852 2849 6966","•  Present a valid Hong Kong ID Card at main entrance to enjoy the offer","Terms and conditions apply to Madame Tussauds Hong Kong admission ticket. Please click here for details.
                        

                            Please click here for details.","Please click here for details.","https://www.madametussauds.com/hong-kong/en/latest-news/special-offers/2020-hong-kong-residents-special-buy-1-get-1-free/","null",""
"1594283367-1402","https://www.holidayhk.com/en-hk/attractions/","Noah's Ark Hong KongBUY 2 GET 1 FREEBuy Two, Get One Free on Admission Ticket","https://www.holidayhk.com/en-hk/attractions/attraction0028/","Noah's Ark Hong Kong","Buy Two, Get One Free on Admission Ticket","null","/media/offer/NoahsArk_ENHK_Attraction_Offer_1_logo.png","•  Offer is valid from 1 July to 31 August 2020
•  Offer is only eligible to bona fide visitors to Hong Kong
•  For enquiries, please contact Noah's Ark Hong Kong at info@noahsark.com.hk or +852 3411 8888","• Click on 'Book now' to book your tickets at official Noah's Ark Hong Kong website","1. Offer is applicable for booking via Hong Kong Toursim Board’s website.
2. Purchased tickets are only for personal use, and cannot be exchanged, refunded, resale or used for marketing, promotional or other business purposes.
3. Offer cannot be used in conjunction with other promotions or discounts.
4. Tickets are sold subject to the Rules and Regulations of Man Wan Park Limited.
5. The promotion period is from 1 July to 31 August, 2019.
6. In case of any dispute, Noah’s Ark Hong Kong reserves the right of final decision.","null","","null",""
"1594283407-1421","https://www.holidayhk.com/en-hk/attractions/","Hong Kong Maritime MuseumBUY 1 GET 1 FREEBuy One, Get One Free on Admission Ticket","https://www.holidayhk.com/en-hk/attractions/attraction0017/","Hong Kong Maritime Museum","Buy One, Get One Free on Admission Ticket","null","/media/offer/MaritimeMuseum_ENHK_Attraction_Offer_1_logo.png","•  Offer is valid from 15 June to 30 September 2020
•  	Hong Kong residents are eligible for this offer
•  For enquiries, please contact by email info@hkmaritimemuseum.org or phone at +852 3713 2500","• Click ‘Print’ to save this offer page
• Present this offer page at Hong Kong Maritime Museum reception for offer redemption","•  Hong Kong residents are eligible to this offer. Visitors are required to present HKID and the offer page for verification at times of ticket purchase
•  Offer is valid from 15 June to 30 September 2020
•  This offer can only be used when purchasing a standard adult ticket (Price: HK$30) and will entitle the holder to one free adult (Price: HK$30) or concessionary ticket (Price: HK$15)
•  Visitors are entitled to purchase a maximum of ONE ticket at a time. Each visitor can only enjoy the offer once per day
•  Tickets redeemed with this offer are only valid for admission on the date the tickets are purchased. 
•  This offer cannot be refunded or redeemed for cash
•  This offer cannot be used in conjunction with any other offer
•  In case of any disputes, the decision of Hong Kong Maritime Museum shall be final","null","","null",""
"1594283388-1412","https://www.holidayhk.com/en-hk/attractions/","Noah's Ark Hong KongNoah's Ark Hong Kong admission ticket & Seaview Afternoon Tea Set Combo (2 Adults)","https://www.holidayhk.com/en-hk/attractions/attraction0032/","Noah's Ark Hong Kong","Noah's Ark Hong Kong admission ticket & Seaview Afternoon Tea Set Combo (2 Adults)","null","/media/offer/NoahsArk_ENHK_Attraction_Offer_1_logo.png","•  Offer is valid from 1 July to 31 August 2020
•  Hong Kong residents are eligible to this offer 
•  For enquiries, please contact info@noahsark.com.hk at +852 3411 8888","• Click on 'Book now' to book your tickets at official Noah's Ark Hong Kong website","Terms and conditions apply to Noah's Ark Hong Kong admission ticket.","null","","null",""
"1594283359-1398","https://www.holidayhk.com/en-hk/attractions/","sky100 Hong Kong Observation DeckCafé 100 Twilight Dinner Package at HK$399 (19% Discount)","https://www.holidayhk.com/en-hk/attractions/attraction0004/","sky100 Hong Kong Observation Deck","Café 100 Twilight Dinner Package at HK$399 (19% Discount)","Includes one sky100 Adult Standard Ticket and a 3-course Twilight Dinner for 1 person at Café 100 by The Ritz-Carlton, Hong Kong","/media/offer/sky100_ENHK_Attraction_Offer_1_logo.png","•  Offer is valid from 15 June to 30 September 2020
•  Hong Kong residents are eligible for this offer
•  For enquiries, please contact sky100 Hong Kong Observation Deck at info@sky100.com.hk or +852 2613 3888","• Click on 'Book now' to book your packages at official sky100 website","Terms and conditions apply to Café 100 by The Ritz-Carlton, Hong Kong Twilight Dinner Special Package. Please click here for details.
                        

                            Please click here for details.","Please click here for details.","https://sky100.com.hk/special-offers/cafe100_dinner_terms/","null",""
"1594283400-1418","https://www.holidayhk.com/en-hk/attractions/","Hong Kong DisneylandBUY 2 GET 1 FREEBuy Two, Get One Free on 1-Day Ticket","https://www.holidayhk.com/en-hk/attractions/attraction0001/","Hong Kong Disneyland","Buy Two, Get One Free on 1-Day Ticket","Every guest may enjoy a complimentary Disney Headband (original price HK$118) or Ear Hat (original price HK$99) with your park entry on or before 31 July 2020!","/media/offer/HKDL_ENHK_Attraction_Offer_1_logo.png","At Hong Kong Disneyland, every moment is a magical one that brings you closer to your loved ones. From now to 31 August, 2020, guests can buy two 1-Day park tickets and receive an additional 1-Day ticket for free! It’s a wonderful way to share the Disney magic and happiness with all your loved ones!

Every guest may enjoy a complimentary Disney Headband (original price HK$118) or Ear Hat (original price HK$99) with your park entry on or before 31 July 2020! 

Book now and enjoy your magical journey at Hong Kong Disneyland!

•  Offer is valid from now to 31 Aug 2020
• Valid for one visit to the Park on or before August 31, 2020. Tickets are only valid on the date of redemption. All three tickets must be used together upon admission to the Park. 
• 1-Day admission ticket is applicable for guests of all ages while 1-Day Child admission ticket is applicable for the guests aged 3 - 11
•  For enquiries, please call +852 1 830 830 
• Images are for marketing purposes only. All Guests must wear face masks and maintain appropriate social distance during their visit","• Click on 'Book now' to book your tickets at Hong Kong Disneyland's official website","Terms and conditions apply to Hong Kong Disneyland Admission Ticket. Please click here for details.
                        

                            Please click here for details.","Please click here for details.","https://www.hongkongdisneyland.com/offers-discounts/2-plus-1-magic-offer-hk/details/?CMP=CoopGenHKTBHKTixOff2P1MG","null",""
