web-scraper-order,web-scraper-start-url,product,product-href,name,brandname,description,logo-src,how-to-book,book-link,book-link-href,terms,terms-link,terms-link-href
"1594348456-142","https://www.holidayhk.com/en-hk/food-and-drink/","Hokkaido Katsu Sushi50% OFF50% discount on Conger SushiQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0043/","Hokkaido Katsu Sushi","50% discount on Conger Sushi","Original price : HK$58","/media/offer/EN_Dine_43_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Hokkaido Katsu Sushi
Address: Basement, Far East Bank Mongkok Building, 11 Nelson Street, Mongkok, Kowloon
Tel: +852 2392 1220
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_43_tnc.pdf"
"1594348231-38","https://www.holidayhk.com/en-hk/food-and-drink/","Ginger GrillBUY 1 GET 1 FREEBuy one, get one free main course","https://www.holidayhk.com/en-hk/food-and-drink/food0056/","Ginger Grill","Buy one, get one free main course","Available on Monday, Wednesday to Friday after 6:30pm (except Tuesday, Saturday, Sunday and public holidays)","/media/offer/EN_Dine_56_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Ginger Grill
Address: Aqua City, Waterfront, Ocean Park Hong Kong, 180 Wong Chuk Hang Road, Aberdeen, Hong Kong Island
Tel: +852 3923 2161
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_56_tnc.pdf"
"1594348255-50","https://www.holidayhk.com/en-hk/food-and-drink/","Leisurely VeggieFree Apple, Pear, Coconut, Snow Fungus Sweet Soup","https://www.holidayhk.com/en-hk/food-and-drink/food1183/","Leisurely Veggie","Free Apple, Pear, Coconut, Snow Fungus Sweet Soup","Original Price HK$48","/media/offer/Dine_1183_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Leisurely Veggie (Tsuen Wan Branch)
Address: Shop G08-11, Citywalk 2, No.18 Yeung Uk Road, Tsuen Wan, New Territories
Tel: +852 2636 1808



                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1183_tnc.pdf"
"1594348323-83","https://www.holidayhk.com/en-hk/food-and-drink/","Joy Daikiya Japanese RestaurantLimited Time Dinner Offer (Mong Kok Store) 
Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1157/","Joy Daikiya Japanese Restaurant","Limited Time Dinner Offer (Mong Kok Store)","(Monday - Thursday)
5:30pm-7:30pm HK$200                                                      
9:15pm-11:15pm HK$200

(Friday)
5:30pm-7:30pm HK$220                                                      
9:15pm-11:15pm HK$220

(Saturday or Public Holiday eves)
5:00pm-7:00pm HK$220                                                        
5:30pm-7:30pm HK$230
9:15pm-11:15pm HK$220
9:30pm-11:30pm HK$220

(Sunday or Public Holiday)
5:00pm-7:00pm HK$220                                                         
5:30pm-7:30pm HK$230
9:15pm-11:15pm HK$220

Subject to 10% Service Charge","/media/offer/Dine_1157_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Joy Daikiya Japanese Restaurant
Address: 2/F, Chong Hing Square, 593-601 Nathan Road, Mong Kok, Kowloon
Tel: +852 3188 8818 / 3188 8822","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1157_tnc_R.pdf"
"1594348227-36","https://www.holidayhk.com/en-hk/food-and-drink/","Bubba Gump Shrimp Co Restaurant & MarketBUY 1 GET 1 FREEBuy one, get one free Speckled Lemonade, Mango Sparkler and Peach TeaQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0013/","Bubba Gump Shrimp Co Restaurant & Market","Buy one, get one free Speckled Lemonade, Mango Sparkler and Peach Tea","null","/media/offer/EN_Dine_13_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Bubba Gump Shrimp Co Restaurant & Market
Address: Shop 304-305, 3/F, The Peak Tower, The Peak, Hong Kong Island
Tel: +852 2849 2867
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_13_tnc.pdf"
"1594348496-161","https://www.holidayhk.com/en-hk/food-and-drink/","pier3barCASH REBATEEnjoy HK$25 cash rebate upon net purchase of HK$500, offer is applicable to all shops","https://www.holidayhk.com/en-hk/food-and-drink/food1125/","pier3bar","Enjoy HK$25 cash rebate upon net purchase of HK$500, offer is applicable to all shops","null","/media/offer/Dine_1125_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address.
Pier 3 bar
Address: pier 3 garden central pier no.3 , 11 man kwong street, central, Hong Kong Island
Tel: +85251883332

Quarry bay kiosk light refreshment restaurant
Address: Quarry Bay Park Food Kiosk 51 Lei King Rd, Aldrich Bay, Hong Kong Island
Tel: +85251883332

360SNACKS
Address: Venue A, 11 Tat Tung Road, Tung Chung, Lantau Island, Hong Kong
Tel: +85251883332","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1125_tnc.pdf"
"1594348491-159","https://www.holidayhk.com/en-hk/food-and-drink/","Mou Mou ClubComplimentary one Seafood Platter upon two or more patrons purchase dine-in 90 minutes All-You-Can-Eat Course","https://www.holidayhk.com/en-hk/food-and-drink/food0029/","Mou Mou Club","Complimentary one Seafood Platter upon two or more patrons purchase dine-in 90 minutes All-You-Can-Eat Course","null","/media/offer/EN_Dine_29_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details.

Outlet Address
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_29_outlet_address.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_29_tnc.pdf"
"1594348195-21","https://www.holidayhk.com/en-hk/food-and-drink/","Treasure Lake Seafood Restaurant - Central20% off Designated Dinner DishQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1003/","Treasure Lake Seafood Restaurant - Central","20% off Designated Dinner Dish","null","/media/offer/EN_Dine_1003_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Treasure Lake Seafood Restaurant - Central
Address: 1/F-3/F, Haleson Building, 1 Jubilee Street, Central, Hong Kong Island 
Tel: +852 2850 6638

                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1003_tnc.pdf"
"1594348384-109","https://www.holidayhk.com/en-hk/food-and-drink/","Ru Chinese Restaurant - L’hotel Nina et Convention CentreBUY 1 GET 1 FREEBuy one, get one free Abalone Set Menu","https://www.holidayhk.com/en-hk/food-and-drink/food0021/","Ru Chinese Restaurant - L’hotel Nina et Convention Centre","Buy one, get one free Abalone Set Menu","Original price:  HK$1,380","/media/offer/EN_Dine_21_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details.

Outlet Address
Ru Chinese Restaurant - L’hotel Nina et Convention Centre
Address: 7/F, L’hotel Nina et Convention Centre, 8 Yeung Uk Road, Tsuen Wan, New Territories 
Tel: +852 2280 2923 / +852 5970 0532 (WhatsApp)

Menu
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_21_menu.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_21_tnc.pdf"
"1594348423-128","https://www.holidayhk.com/en-hk/food-and-drink/","Red Ant restaurant CASH REBATEEnjoy HK$50 cash rebate upon dinner spending HK$300 or above (excluding 10% service charge) in single transactionQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1148/","Red Ant restaurant","Enjoy HK$50 cash rebate upon dinner spending HK$300 or above (excluding 10% service charge) in single transaction","Offer is valid from Monday to Friday, after 6pm
Customers must spend in electronic payment.","/media/offer/Dine_1148_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Red Ant Restaurant 
Address: Shop L2-29, Level 2, V Walk, 28 Sham Mong Road, Sham Shui Po, Kowloon, Hong Kong 
Tel: +852 2318 0711



                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1148_tnc.pdf"
