web-scraper-order,web-scraper-start-url,menu,menu-href,product,product-href,name,brandname,description,logo-src,offer-detail
"1594278905-323","https://www.holidayhk.com/en-hk/","Staycations
                    Staycations","https://www.holidayhk.com/en-hk/staycation/","Warwick HotelSeaside Escape Staycation Package","https://www.holidayhk.com/en-hk/staycation/staycation0182/","Warwick Hotel","","","",""
"1594278894-308","https://www.holidayhk.com/en-hk/","Attractions
                    Attractions","https://www.holidayhk.com/en-hk/attractions/","Dukling50% OFF50% Discount on Dukling Sailing Night Tour","https://www.holidayhk.com/en-hk/attractions/attraction0018/","","","","","•  Offer is valid from 15 June to 30 September 2020
•  Hong Kong residents are eligible for this offer
•  For enquiries, please contact Dukling at reservation@dukling.com.hk or +852 3759 7070"
"1594278915-348","https://www.holidayhk.com/en-hk/","Staycations
                    Staycations","https://www.holidayhk.com/en-hk/staycation/","The Kowloon HotelDouble Value Package - pay one price to get room & same value of F&B credit up to HK$1,800","https://www.holidayhk.com/en-hk/staycation/staycation0047/","The Kowloon Hotel","","","",""
"1594278826-182","https://www.holidayhk.com/en-hk/","Tours
                    Tours","https://www.holidayhk.com/en-hk/tours/","Walk Hong KongWildlife Nightwalk - Lung Fu Shan","https://www.holidayhk.com/en-hk/tours/tours004/","Walk Hong Kong","","","",""
"1594278854-241","https://www.holidayhk.com/en-hk/","Dining
                    Dining","https://www.holidayhk.com/en-hk/food-and-drink/","Dining Discount Bonanza","https://www.holidayhk.com/en-hk/food-and-drink/diningdiscount/","","","July: 30% off
August: 20% off","",""
"1594278872-263","https://www.holidayhk.com/en-hk/","Shopping
                    Shopping","https://www.holidayhk.com/en-hk/shops/","Sa Sa Cosmetic Company LimitedSUPER OFFERPromotion price of HK$54 for Sasatinnie Black Pearl Caviar Nourishing Black Mask/Swallow’s Nest Camellia Rejuvenating Black Mask 1pcsQuality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1017/","Sa Sa Cosmetic Company Limited","","","",""
"1594278824-181","https://www.holidayhk.com/en-hk/","Tours
                    Tours","https://www.holidayhk.com/en-hk/tours/","KKDayPearl DIY Accessory Workshop (Family Package)","https://www.holidayhk.com/en-hk/tours/tours015/","","","","","•	 Offer is valid from 15 June to 30 September 2020 
• Offer is valid within two months upon purchase
•	 Hong Kong residents are eligible to this offer
•	 Package includes entry fee, round-trip boat fee, Pearl Story workshop, 1 piece of pearl and 1 piece of accessory for 1 parent and 1 kid of 5 to 9 years old
•	 For enquiries, please contact +852 3008 1724"
"1594278850-235","https://www.holidayhk.com/en-hk/","Dining
                    Dining","https://www.holidayhk.com/en-hk/food-and-drink/","Bo InnovationPromotion price of HK$1500 (plus 10% service charge) for designated set menuQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1140/","","","","/media/offer/Dine_1140_logo.png",""
"1594278872-266","https://www.holidayhk.com/en-hk/","Shopping
                    Shopping","https://www.holidayhk.com/en-hk/shops/","Sa Sa Cosmetic Company LimitedSUPER OFFERPromotion price of HK$54 for Sasatinnie Black Pearl Caviar Nourishing Black Mask/Swallow’s Nest Camellia Rejuvenating Black Mask 1pcsQuality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1017/","","","","/media/offer/EN_Shop_1017_logo.png",""
"1594278817-165","https://www.holidayhk.com/en-hk/","Tours
                    Tours","https://www.holidayhk.com/en-hk/tours/","Hong Thai Travel Services LimitedYuen Long Tai Tong Organic EcoPark Tour","https://www.holidayhk.com/en-hk/tours/tours014/","","","","/media/offer/HongThai_EN_Tour_Offer_1_logo.png",""
