web-scraper-order,web-scraper-start-url,product,product-href,name,brandname,description,logo-src,how-to-book,book-link,book-link-href,address-link,address-link-href,terms,terms-link,terms-link-href
"1594284347-1655","https://www.holidayhk.com/en-hk/shops/","TONYMOLYReceive complimentary The Chok Chok Green Tea Moisture Foam Cleanser upon spending over HK$300 on regaulr-priced products","https://www.holidayhk.com/en-hk/shops/shop0105/","TONYMOLY","Receive complimentary The Chok Chok Green Tea Moisture Foam Cleanser upon spending over HK$300 on regaulr-priced products","Original Price: HK$99","/media/offer/EN_Shop_105_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details. 

Outlet Address

                        

                            Please click here for details.","official website","http://www.tonymoly.com.hk/","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_105_outlet_address.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_105_tnc.pdf"
"1594284363-1663","https://www.holidayhk.com/en-hk/shops/","Friendship Trading CompanyCASH REBATEEnjoy HK$100 cash rebate upon net purchase of HK$500 in single transaction.Quality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1123/","Friendship Trading Company","Enjoy HK$100 cash rebate upon net purchase of HK$500 in single transaction.","null","/media/offer/Shop_1123_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Friendship Trading Company
Address: G/F,Friendship Commercial Building,105-107, Hollywood Road,Central,Hong Kong Island, Hong Kong
Tel: +852 25483830

                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1123_tnc.pdf"
"1594283978-1478","https://www.holidayhk.com/en-hk/shops/","Nam Pei HongBUY 1 GET 1 FREEBuy one, get one free Ginseng (specific item)Quality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1101/","Nam Pei Hong","Buy one, get one free Ginseng (specific item)","Original Price HK$210 per tael","/media/offer/Shop_1101_logo_R.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Nam Pei Hong - Tai Po
Address: Shop 101G, Level 1, Tai Wo Plaza, Tai Wo Estate, No.12 Tai Wo Road, Tai Po, New Territories
Tel: +852 2656 8719

Nam Pei Hong - Ma On Shan
Address: Shop 2102, Level 2, MOSTown, No.18 On Luk Street, Ma On Shan, New Territories
Tel: +852 2630 9898

Nam Pei Hong - Wong Tai Sin
Address: Shop N216, Level 2, Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin, Kowloon.
Tel: +852 2449 4998

Nam Pei Hong - Sheung Shui
Address: Shop No.2026 L2, Sheung Shui Ctr, 3 Chi Cheong Rd., Sheung Shui, New Territories
Tel: +852 2630 9992

Nam Pei Hong - Shatin
Address: Shop No.4B, Level 3, Shatin Plaza, Shatin, New Territories.
Tel: +852 2603 0890

Nam Pei Hong - Harbour City
Address: Shop 3201, Level Three, Gateway Arcade, Harbour City, Kowloon.
Tel: +852 2119 0386

Nam Pei Hong - Yuen Long
Address: Shop A238-A239 Level 2, Yoho Mall II, 8 Long Yat Road, Yuen Long, New Territories (Exit F, Yuen Long MTR Station)
Tel: +852 2330 1069

Nam Pei Hong - Tseung Kwan O
Address: Shop UG077, UG/F, MCP Central II, 8 Yan King Road, Tseung Kwan O , New Territories (Exit B1, Po Lam MTR Station)
Tel: +852 2466 0606

Nam Pei Hong - Tuen Mun
Address:   Shop 2070, 2/F, Tuen Mun Town Plaza I, 1 Tuen Shing Street, Tuen Mun, New Territories
Tel: +852 2146 9128

Nam Pei Hong - Causeway Bay
Address: Unit G12, G/F, Causeway Bay Plaza I, No.489 Hennessy Road, Hong Kong Island
Tel: +852  2976 9892

                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1101_tnc_R.pdf"
"1594284142-1557","https://www.holidayhk.com/en-hk/shops/","AUSupremeBUY 1 GET 1 FREEBuy one, get one free Baby's Probiotic PowderQuality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop0043/","AUSupreme","Buy one, get one free Baby's Probiotic Powder","Original price: HK$390","/media/offer/EN_Shop_43_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details

Outlet Address
                        

                            Please click here for details.","official website","https://www.ausupreme.com/","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_43_outlet_address.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_43_tnc.pdf"
"1594284391-1676","https://www.holidayhk.com/en-hk/shops/","CGV CinemasBUY 1 GET 1 FREEBuy 1 Get 1 Free Bottle Drinks","https://www.holidayhk.com/en-hk/shops/shop0098/","CGV Cinemas","Buy 1 Get 1 Free Bottle Drinks","Worth: HK$25 / HK$28","/media/offer/EN_Shop_98_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
CGV Cinemas - Lai Chi Kok
Address: 11/F, D2 Place TWO, No. 15 Cheung Shun Street, Lai Chi Kok, Kowloon
Tel: +852 2863 4100
                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_98_tnc.pdf"
"1594284472-1715","https://www.holidayhk.com/en-hk/shops/","Dragons Optometric Centre30% off on cleadew solution (for gas permeable hard contact lenses)Quality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1206/","Dragons Optometric Centre","30% off on cleadew solution (for gas permeable hard contact lenses)","Original Price HK$100","/media/offer/Shop_1206_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Dragons Optometric Centre
Address: Room 1304, 13/F., Metropole Building, 57 Peking Road, Tsim Sha Tsui, Kowloon, Hong Kong.
Tel: +852 27391813","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1206_tnc_R.pdf"
"1594283899-1440","https://www.holidayhk.com/en-hk/shops/","Lukfook JewelleryBUY 1 GET 1 FREEBuy one, get one free on 18K Gold Diamond Pair Ring Quality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop0065/","Lukfook Jewellery","Buy one, get one free on 18K Gold Diamond Pair Ring","","/media/offer/EN_Shop_65_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details. 

Outlet Address
                        

                            Please click here for details.","official website","https://www.lukfook.com/en","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_65_outlet_address.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_65_tnc.pdf"
"1594284545-1748","https://www.holidayhk.com/en-hk/shops/","FortressPromotion Price of HK$3499 (42% off) for APPLE Watch Series 4 GPS + Cellular Stainless Steel Case 44mm (Recommended Retail Price $6099)Quality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1224/","Fortress","Promotion Price of HK$3499 (42% off) for APPLE Watch Series 4 GPS + Cellular Stainless Steel Case 44mm (Recommended Retail Price $6099)","Original Price HK$6099","/media/offer/Shop_1224_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details

Outlet Address
                        

                            Please click here for details.","official website","https://www.fortress.com.hk/en/promotion/hktb","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1224_outlet_address_R.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1224_tnc.pdf"
"1594284216-1593","https://www.holidayhk.com/en-hk/shops/","SwisslineA complimentary 60-minute Aqua-Vitale Hydrating Facial Treatment (valued at HK$1,440) upon any purchaseQuality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop0080/","Swissline","A complimentary 60-minute Aqua-Vitale Hydrating Facial Treatment (valued at HK$1,440) upon any purchase","null","/media/offer/EN_Shop_80_logo.png","Applicable for new customer aged 18 or above.
Booking is required with stating promotion code t711 via +852 2737 2372
Membership registration is required before treatment
Each customer can enjoy the offer once and the offer is non-transferable

Outlet Address
Swissline – West Kowloon
Address: Shop UG61A, Olympian City 2, 18 Hoi Ting Rd, West Kowloon, Kowloon
Tel: +852 2737 2372

Swissline – Tsuen Wan
Address: Shop 213, Tsuen Wan Plaza, 4-30 Tai Pa Street, Tsuen Wan, New Territories
Tel: +852 2737 2372

Swissline – Tseung Kwan O
Address: Shop 127, East Point City, 8 Chung Wa Road, Hang Hau, Tsuen Kwan O, New Territories
Tel: +852 2737 2372

Swissline – Tuen Mun
Address: Shop 1131, 1/F, tmtplaza Phase 1, No. 1 Tuen Shun Street, Tuen Mun, New Territories
Tel: +852 2737 2372
                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_80_tnc.pdf"
"1594284183-1577","https://www.holidayhk.com/en-hk/shops/","MORIMOR by ColourmixBUY 1 GET 1 FREEBuy 1 Get 1 Free Fresh Nation Gold Complex Eye Cream 15ml","https://www.holidayhk.com/en-hk/shops/shop0094/","MORIMOR by Colourmix","Buy 1 Get 1 Free Fresh Nation Gold Complex Eye Cream 15ml","Worth: HK$280","/media/offer/EN_Shop_94_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
MORIMOR by Colourmix - Tuen Mun
Address: Shop No. 17 & 18A, Level 3, South Wing,Trend Plaza, Tuen Mun, New Territories
Tel: + 852 2849 7123

MORIMOR by Colourmix - Lantau
Address: Shop 510, the First Floor, Passenger Clearance Building, Hong Kong-Zhuhai-Macao Bridge Hong Kong Port Lantau, Outlying Islands
Tel: + 852 2367 4738

                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_94_tnc.pdf"
