web-scraper-order,web-scraper-start-url,product,product-href,name,brandname,description,logo-src,offer-detail
"1594281771-1289","https://www.holidayhk.com/en-hk/staycation/","The Murray, Hong KongMurray Staycation","https://www.holidayhk.com/en-hk/staycation/staycation0089/","The Murray, Hong Kong","Murray Staycation","Enjoy the best time of the year with The Murray Staycation Package. No matter how well you know Hong Kong, rediscover the many charms and attractions of this vibrant city from a luxury perspective.","/media/offer/TheMurray_HK_Hotel_Offer_1_logo.png","Packed with exclusive privileges from dining credits to complimentary roll-away bed, the ‘limited time only’ offer includes:
• Daily breakfast for two at The Tai Pan or Garden Lounge
• Complimentary breakfast for children under 6 years old
• Free parking at The Murray
• HK$1,200 dining credit per night
• A complimentary roll-away bed for N1 deluxe room
• Complimentary children amenity
• For enquiries, please contact themurray@niccolohotels.com or +852 3141 8888"
"1594281658-1234","https://www.holidayhk.com/en-hk/staycation/","Dorsett Wanchai, Hong KongHong Kong Residents Exclusive: '1+2=4=SuperValue' Staycation Package","https://www.holidayhk.com/en-hk/staycation/staycation0010/","Dorsett Wanchai, Hong Kong","Hong Kong Residents Exclusive: '1+2=4=SuperValue' Staycation Package","Spend a night in a Premier Room with 4 self-picked wonderful perks from the privileges lists (including buffet breakfast, in-room dinner, cash rebate, late check-out etc.) at only HK$700nett per night.","/media/offer/DorsettWanchai_HK_Hotel_Offer_1_logo.png","• Offer is valid from 15 June to 30 September 2020
• Hong Kong residents are eligible for this offer
• Offer includes:
    - One night accommodation in a Premier Room with 4 self-picked perks from the following: 
    - In-room dinner for 2 (fried chicken set, pasta carbonara and 1 bottle of sparkling wine)
    - HK$100 cash coupon for instant rebate (at HK$600 per night!)
    - Daily buffet breakfast for 2 
    - Late check-out till 6pm
    - Free one-off minibar
    - A surprise gift
    - Upgrade to Grand Deluxe Course View Room at HK$100 per night
    - Upgrade to Executive Suite at HK$400 per night 
    - Upgrade to Family Quad Room at HK$400 per night with an in-room Piñata, a kids’ welcome gift and daily   breakfast for 2
•  For enquiries, please contact reservation.wanchai@dorsetthotels.com or +852 3552 1133"
"1594281950-1376","https://www.holidayhk.com/en-hk/staycation/","Pentahotel Hong Kong, Kowloon'Stay & Eat' Package with HK$300 net dining credits at only HK$600","https://www.holidayhk.com/en-hk/staycation/staycation0036/","Pentahotel Hong Kong, Kowloon","'Stay & Eat' Package with HK$300 net dining credits at only HK$600","Enjoy a cosy night in Penta Standard Room (Free upgrade to Penta Plus Room) with HK$300 net dining credits to spend at eatstreet@pentalounge and pizzabar as well as a complimentary late check-out until 14:00","/media/offer/PentaHotelKowloon_HK_Hotel_Offer_1_logo.png","•  Offer is valid from 15 June to 30 September 2020
•  Only Hong Kong residents are eligible for this offer
•  'Stay & Eat' Package includes:
- One night accommodation in Penta Standard Room
- Daily HK$300 net dining credits (accumulative) to spend at eatstreet@pentalounge and pizzabar
•  Added Benefits include:
- Free room upgrade to Penta Plus Room
- Free Hotel-wide WiFi
- Free use of 24-hour gym
- Free use of seasonal outdoor pool (tentatively reopens on 13 June 2020)
- Free use of Pentafun Music as well as foosball, PlayStation 4 and pool facilities inside the Games Rooms
- Welcome tea and coffee making facilities
- Complimentary shuttle bus service to Tsim Sha Tsui K11 Art Mall including two transfers to Diamond Hill Station (on first-come-first-served basis)
- Late check-out until 2p.m. (subject to hotel's availability)"
"1594281956-1379","https://www.holidayhk.com/en-hk/staycation/","Harbour Plaza North PointStaycation Package with Dining Privileges","https://www.holidayhk.com/en-hk/staycation/staycation0186/","Harbour Plaza North Point","Staycation Package with Dining Privileges","Guests receive the same value of dining credit during stay.","/media/offer/HarbourPlazaNP_HK_Hotel_Offer_3_logo.png","• Offer is valid from now to 31 August 2020
• Hong Kong residents are eligible to this offer
• Enjoy the same value of dining credit during the stay
   - Superior Side Harbour View Room – HK$800
   - Premier Hill View Room – HK$900
   - Premier Harbour View Room – HK$1,000 
• Complimentary late checkout till 3pm (subject to availability)
• A complimentary Watsons well-being gift set per room
• For enquiries, please contact rsvn.hpnp@harbour-plaza.com or +852 2185 2888"
"1594281843-1324","https://www.holidayhk.com/en-hk/staycation/","Hong Kong Ocean Park Marriott HotelSTAY & PLAYHome Kong – Ocean Park Amazing Moment Room Package","https://www.holidayhk.com/en-hk/staycation/staycation0077/","Hong Kong Ocean Park Marriott Hotel","Home Kong – Ocean Park Amazing Moment Room Package","HK$1,000 dining voucher at Hotel and Ocean Park's restaurants. Breakfast Buffet and Ocean Park Admission Ticket for 2 Adults and 1 Child","/media/offer/OPMarriott_HK_Hotel_Offer_1_logo.png","• Offer is valid from now until 30 September 2020
• Hong Kong residents are eligible for this offer
• Offer includes:
- One night accommodation in Deluxe Room 
- Buffet Breakfast for 2 Adults and 1 Child (Age 3 - 11)
- Dining voucher of HK$1,000 applicable to designated restaurants at Hong Kong Ocean Park Marriott Hotel and Ocean Park 
- Ocean Park admission ticket for 2 Adults and 1 Child
- Check in time : 3pm; Check out time : 11am
•  For enquiries, please contact mhrs.hkgop.reservation.office@marriott-service.com or +852 3008 8908"
"1594281893-1348","https://www.holidayhk.com/en-hk/staycation/","Mandarin Oriental, Hong KongWeekend Staycation","https://www.holidayhk.com/en-hk/staycation/staycation0075/","Mandarin Oriental, Hong Kong","Weekend Staycation","Indulge in a one-of-a-kind urban getaway over the weekend, Hong Kong residents can enjoy a special room rate at HK$1,963 with 30% discount on restaurant outlets","/media/offer/MandarinOriental_HK_Hotel_Offer_2_logo.png","• Offer is valid from now to 31 August 2020 (on Fridays, Saturdays and Sundays), and is priced from HK$1,963 per room per night
• Offer is applicable to Hong Kong residents only
• Offer includes:
- 30% saving on food only in all restaurants (excluding Krug Room and Pierre)
- Complimentary browsing internet for Fans of M.O. members
• For enquiries, please contact mohkg-reservations@mohg.com or +852 2820 4202"
"1594281922-1362","https://www.holidayhk.com/en-hk/staycation/","The Salisbury - YMCA of Hong KongSportcation","https://www.holidayhk.com/en-hk/staycation/staycation0139/","The Salisbury - YMCA of Hong Kong","Sportcation","• One night hotel accommodation
• Welcome breakfast for up to 2 persons
* Complimentary use of our indoor Climbing Wall (one hour, a trainer will be provided)","/media/offer/TheSalisburyYMCA_HK_Hotel_Offer_1_logo.png","• Offer is valid from 15 June to 30 September 2020
• Hong Kong residents are eligible for this offer
• Offer includes:
   - One night accommodation in a Standard room
   - Complimentary use of our indoor climbing wall (one hour with a trainer)
   - Complimentary use of our well-equipped fitness centre
   - Complimentary use of our indoor temperature controlled swimming pools and jacuzzi 
   - Welcome fruit
   - Breakfast for up to 2 persons
   - Complimentary in-room Wi-Fi and broadband internet access
   - Complimentary local calls
   - Complimentary late check-out until 3pm (subject to availability)
   - Birthday offer: Complimentary souvenir for in-house guest staying on his or her birthday
•  For enquiries, please contact room@ymcahk.org.hk or call us at +852 2268 7888."
"1594281837-1321","https://www.holidayhk.com/en-hk/staycation/","The Upper House#WellnessOnTheRoad","https://www.holidayhk.com/en-hk/staycation/staycation0091/","The Upper House","#WellnessOnTheRoad","Treat yourself to a wellness inspired staycation and indulge in the tranquil setting of our House.  A full 24-hour stay complete with in-room treatments and wellness classes, it's the perfect respite right in the heart of the city.","/media/offer/UpperHouse_HK_Hotel_Offer_2_logo.png","• Offer is valid from 15 June to 6 September 2020
• Hong Kong residents are eligible for this offer
Offer includes:
- One night accomodation in Studio 70
- A full 24-hour stay with flexible check-in time 
- Breakfast for two at Café Gray Deluxe
- A selection of Café Gray Deluxe cold-pressed juices as welcome drinks
- 60 minute in-room massage for two
- A surprise wellness gift
- Complimentary access to group wellness classes (Saturdays and Sundays)
- Complimentary Maxi-Bar (except wine and Champagne)
- Access to 24-hour gym facilities
- Access to a lululemon Wellness Loan Kit  
- Complimentary parking
• For enquiries, please contact reservations@upperhouse.com or +852 3968 1111"
"1594281794-1300","https://www.holidayhk.com/en-hk/staycation/","Dorsett Tsuen Wan, Hong KongGET 1 night FREE in Tokyo, Osaka, Singapore, Kuala Lumpur, London & Shanghai!","https://www.holidayhk.com/en-hk/staycation/staycation0179/","Dorsett Tsuen Wan, Hong Kong","GET 1 night FREE in Tokyo, Osaka, Singapore, Kuala Lumpur, London & Shanghai!","Around the World with Dorsett - 
HK$1,350 up for 2 consecutive nights stay - Free SWITCH games trial + Free Breakfast & Japanese Cuisine Dinner...........
And enjoy 1 night FREE at any hotels under Dorsett Hospitality International, including AGORA hotels in Japan. 

Experienced JAPANESE Authentic & Fun in Themed Rooms & Suites include -
 - Dorsett Room in Japanese Style
 - Family Triple Room in Japanese Style
 - Glamping Quad Room in Japanese Style
 - Family Suite in Japanese Style
@ Dorsett Tsuen Wan during the hot summer.","/media/offer/DorsettTsuenWan_HK_Hotel_Offer_2_logo.png","• Offer is valid from 15 June to 30 September 2020
• Hong Kong residents are eligible to this offer
• Offer includes:
- Two consective nights accommodation in Dorsett Tsuen Wan
- Complimentary admission to Mini e-Sports Zone & Switch games trial (total 30 mins per stay)
- Welcome Japanese Delights (upon arrival)
- Complimentary Daily Breakfast @ Dorsett Café
- Complimentary Daily Japanese Cuisine Dinner @ Dorsett Café
- Kids can enjoy all privileges in Dorsett Little Star program
- Complimentary attend the Kids Workshop
- Free use of family travel amenities (upon request)
- Special rate at HK$120 (1Child+1Adult) for one session at Kid's Zone
• For enquiries, please contact reservations.tsuenwan@dorsetthotels.com or +852 3996 6863"
"1594281790-1298","https://www.holidayhk.com/en-hk/staycation/","The HarbourviewSummer 'ON' the Harbour Room Package","https://www.holidayhk.com/en-hk/staycation/staycation0087/","The Harbourview","Summer 'ON' the Harbour Room Package","Room with Breakfast or Lunch, Dinner and Mini-bar","/media/offer/TheHarbourview_HK_Hotel_Offer_1_logo.png","•  Offer is valid from 1 July to 31 August 2020
•  Hong Kong residents are eligible for this offer
•  Staycation Package includes:
- One night accommodation in Harbour View Room
- Complimentary buffet dinner for 2 persons at Harbour Restaurant on the arrival day  
- Complimentary breakfast OR buffet lunch for two persons at Harbour Restaurant for the next day
•  Added Benefits include:
- Free use of Wi-Fi during the whole stay  
- Late check-out at 3:00pm (Normal: 12:00pm)  
- Complimentary use of in-room mini bar  
•  For enquiries, please contact reservation@theharbourview.com.hk at +852 2802 0111"
